Rank,Team,Score,Version
1,1547,0.6610,v7
2,1079,0.6360,v9
3,1227,0.6316,v6
3,1384,0.6316,v5
5,1513,0.6094,v8
6,1683,0.5980,v3
7,1067,0.5965,v8
7,1418,0.5965,v11
9,1419,0.5880,v3
10,1326,0.5807,v2
11,1366,0.5743,v9
12,1336,0.5708,v10
13,1573,0.5654,v5
14,1621,0.5592,v4
15,1084,0.5579,v4
16,1387,0.5573,v7
17,1170,0.5541,v7
18,1688,0.5478,v1
19,1698,0.5471,v6
20,1461,0.5465,v4
20,1649,0.5465,v2
22,1480,0.5439,v4
22,1539,0.5439,v8
24,1313,0.5412,v9
25,1142,0.5404,v6
26,1321,0.5371,v4
27,1149,0.5365,v7
28,1430,0.5339,v2
29,1213,0.5319,v4
30,1280,0.5285,v3
31,1381,0.5278,v5
32,1401,0.5228,v4
33,1300,0.5181,v3
34,1673,0.5164,v7
35,1194,0.5154,v8
36,1166,0.5142,v4
36,1671,0.5142,v3
38,1245,0.5140,v8
39,1264,0.5132,v2
40,1209,0.5129,v6
41,1121,0.5114,v3
42,1234,0.5088,v5
43,1348,0.5079,v4
44,1423,0.5064,v1
45,1654,0.5053,v10
46,1483,0.5041,v10
47,1160,0.5035,v7
48,1471,0.5026,v4
49,1113,0.4991,v8
50,1591,0.4981,v3
51,1494,0.4965,v3
52,1269,0.4927,v6
53,1314,0.4904,v6
54,1040,0.4877,v4
55,1581,0.4854,v8
56,1373,0.4842,v3
56,1505,0.4842,v8
58,1151,0.4825,v4
59,1189,0.4817,v2
60,1496,0.4816,v4
61,1075,0.4813,v3
61,1558,0.4813,v3
63,1012,0.4798,v5
64,1474,0.4789,v4
65,1045,0.4769,v1
66,1295,0.4728,v9
67,1662,0.4703,v10
68,1177,0.4702,v8
68,1653,0.4702,v3
70,1509,0.4690,v4
71,1462,0.4675,v9
72,1639,0.4637,v2
73,1530,0.4632,v4
74,1155,0.4623,v3
75,1021,0.4614,v5
75,1292,0.4614,v1
77,1289,0.4601,v4
78,1365,0.4576,v2
78,1622,0.4576,v7
80,1520,0.4553,v1
81,1667,0.4547,v3
82,1620,0.4541,v2
83,1270,0.4539,v1
84,1207,0.4500,v3
84,1208,0.4500,v3
84,1519,0.4500,v9
84,1647,0.4500,v4
88,1668,0.4494,v1
89,1687,0.4462,v6
90,1302,0.4453,v2
91,1268,0.4439,v5
